dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004228,13.999999,0.003704,0.148148,2.962963,59.259259,6.282545
0.050000,0.017321,13.999977,0.016797,0.261872,2.274484,-13.769578,6.280563
0.050000,0.039146,13.999884,0.038622,0.436492,3.492395,24.358227,6.277257
0.050000,0.069703,13.999632,0.069180,0.611164,3.493432,0.020735,6.272624
0.050000,0.108994,13.999100,0.108475,0.785897,3.494663,0.024613,6.266663
0.050000,0.157019,13.998131,0.156509,0.960690,3.495861,0.023971,6.259369
0.050000,0.213773,13.996534,0.213286,1.135527,3.496732,0.017405,6.250741
0.050000,0.279245,13.994083,0.278804,1.310372,3.496903,0.003428,6.240777
0.050000,0.353418,13.990516,0.353063,1.485168,3.495929,-0.019483,6.229482
0.050000,0.436260,13.985538,0.436054,1.659832,3.493285,-0.052877,6.216860
0.050000,0.527727,13.978822,0.527767,1.834251,3.488374,-0.098229,6.202924
0.050000,0.627753,13.970009,0.628181,2.008278,3.480529,-0.156884,6.187695
0.050000,0.736253,13.958712,0.737267,2.181729,3.469034,-0.229907,6.171199
0.050000,0.853114,13.944520,0.854987,2.354386,3.453138,-0.317924,6.153479
0.050000,0.978192,13.927000,0.981286,2.525991,3.432090,-0.420962,6.134585
0.050000,1.111312,13.905706,1.116099,2.696249,3.405177,-0.538246,6.114585
0.050000,1.252262,13.880184,1.259341,2.864838,3.371776,-0.668038,6.093562
0.050000,1.400792,13.849979,1.410911,3.031408,3.331400,-0.807521,6.071619
0.050000,1.556617,13.814647,1.570691,3.195596,3.283761,-0.952768,6.048872
0.050000,1.719413,13.773760,1.738543,3.357037,3.228819,-1.098848,6.025461
0.050000,1.888826,13.726921,1.914311,3.515378,3.166816,-1.240057,6.001540
0.050000,2.064475,13.673770,2.097826,3.670293,3.098299,-1.370338,5.977280
0.050000,2.245959,13.613993,2.288901,3.821498,3.024109,-1.483807,5.952867
0.050000,2.432865,13.547333,2.487339,3.968765,2.945340,-1.575363,5.928498
0.050000,2.624782,13.473591,2.692936,4.111929,2.863276,-1.641284,5.904378
0.050000,2.821306,13.392637,2.905480,4.250894,2.779290,-1.679724,5.880717
0.050000,3.022055,13.304408,3.124762,4.385631,2.694739,-1.691017,5.857727
0.050000,3.222990,13.210682,3.346481,4.434384,0.975060,-34.393580,5.836004
0.050000,3.420377,13.113547,3.566474,4.399864,-0.690392,-33.309036,5.816007
0.050000,3.614337,13.013443,3.784743,4.365374,-0.689795,0.011927,5.797735
0.050000,3.805016,12.910790,4.001298,4.331099,-0.685497,0.085957,5.781177
0.050000,3.992578,12.805982,4.216157,4.297171,-0.678565,0.138653,5.766317
0.050000,4.177201,12.699392,4.429340,4.263674,-0.669941,0.172470,5.753132
0.050000,4.359073,12.591371,4.640873,4.230652,-0.660440,0.190030,5.741598
0.050000,4.538388,12.482252,4.850779,4.198115,-0.650743,0.193925,5.731691
0.050000,4.715339,12.372352,5.059081,4.166044,-0.641414,0.186586,5.723388
0.050000,4.890122,12.261971,5.265801,4.134399,-0.632904,0.170210,5.716668
0.050000,5.062929,12.151396,5.470957,4.103121,-0.625567,0.146741,5.711512
0.050000,5.233949,12.040907,5.674564,4.072137,-0.619673,0.117872,5.707905
0.050000,5.403365,11.930771,5.876632,4.041366,-0.615419,0.085076,5.705837
0.050000,5.571353,11.821251,6.077168,4.010719,-0.612937,0.049647,5.705301
0.050000,5.738084,11.712605,6.276173,3.980104,-0.612299,0.012751,5.706295
0.050000,5.903719,11.605088,6.473645,3.949428,-0.613525,-0.024523,5.708824
0.050000,6.068412,11.498953,6.669575,3.918599,-0.616581,-0.061104,5.712894
0.050000,6.232308,11.394452,6.863951,3.887530,-0.621375,-0.095887,5.718517
0.050000,6.395541,11.291838,7.056758,3.856142,-0.627759,-0.127672,5.725709
0.050000,6.558236,11.191366,7.247977,3.824367,-0.635514,-0.155115,5.734491
0.050000,6.720508,11.093290,7.437584,3.792149,-0.644348,-0.176679,5.744882
0.050000,6.882460,10.997869,7.625557,3.759455,-0.653878,-0.190597,5.756908
0.050000,7.044185,10.905360,7.811871,3.726274,-0.663620,-0.194844,5.770593
0.050000,7.205764,10.816024,7.996502,3.692625,-0.672978,-0.187147,5.785960
0.050000,7.367267,10.730120,8.179430,3.658564,-0.681228,-0.165011,5.803030
0.050000,7.528752,10.647904,8.360639,3.624188,-0.687519,-0.125813,5.821818
0.050000,7.690267,10.569630,8.540122,3.589645,-0.690866,-0.066947,5.842332
0.050000,7.850951,10.495945,8.716895,3.535466,-1.083579,-7.854252,5.864443
0.050000,8.007836,10.428263,8.887757,3.417245,-2.364415,-25.616728,5.887650
0.050000,8.158838,10.367290,9.050604,3.256943,-3.206038,-16.832466,5.911463
0.050000,8.303957,10.312710,9.205648,3.100870,-3.121470,1.691378,5.935674
0.050000,8.443189,10.264174,9.353097,2.948976,-3.037866,1.672077,5.960071
0.050000,8.576526,10.221313,9.493154,2.801146,-2.956603,1.625257,5.984453
0.050000,8.703962,10.183738,9.626014,2.657194,-2.879040,1.551263,6.008626
0.050000,8.825487,10.151053,9.751857,2.516874,-2.806412,1.452552,6.032407
0.050000,8.941093,10.122858,9.870852,2.379886,-2.739746,1.333326,6.055630
0.050000,9.050770,10.098752,9.983147,2.245897,-2.679796,1.198998,6.078146
0.050000,9.154509,10.078345,10.088874,2.114546,-2.627017,1.055570,6.099822
0.050000,9.252300,10.061254,10.188147,1.985468,-2.581565,0.909055,6.120546
0.050000,9.344132,10.047109,10.281062,1.858302,-2.543317,0.764958,6.140220
0.050000,9.429994,10.035560,10.367698,1.732706,-2.511920,0.627936,6.158767
0.050000,9.509874,10.026272,10.448116,1.608364,-2.486841,0.501586,6.176124
0.050000,9.583760,10.018933,10.522365,1.484993,-2.467421,0.388392,6.192242
0.050000,9.651640,10.013250,10.590483,1.362346,-2.452932,0.289785,6.207085
0.050000,9.713502,10.008954,10.652493,1.240215,-2.442618,0.206280,6.220628
0.050000,9.769334,10.005799,10.708415,1.118428,-2.435735,0.137651,6.232852
0.050000,9.819126,10.003563,10.758257,0.996849,-2.431580,0.083114,6.243749
0.050000,9.862869,10.002046,10.802026,0.875374,-2.429504,0.041506,6.253311
0.050000,9.900553,10.001076,10.839722,0.753928,-2.428933,0.011434,6.261539
0.050000,9.932170,10.000500,10.871345,0.632459,-2.429363,-0.008619,6.268433
0.050000,9.957716,10.000194,10.896892,0.510941,-2.430373,-0.020197,6.273995
0.050000,9.977183,10.000057,10.916360,0.389360,-2.431614,-0.024809,6.278229
0.050000,9.990569,10.000010,10.929746,0.267719,-2.432810,-0.023929,6.281137
0.050000,9.997871,10.000000,10.937048,0.146032,-2.433757,-0.018944,6.282723
0.050000,10.000000,10.000000,10.939177,0.042589,-2.068857,7.298003,0.000000
0.050000,10.000000,10.000000,10.939177,0.000000,-0.851775,24.341643,0.000000
